,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
10,False,/x53rt95zFbCjfFidDsH6kukMiWz.jpg,[18],502581,pt,Nada a Perder,"Authorized biopic of Brazilian evangelical bishop Edir Macedo, founder of the Universal Church of the Kingdom of God and owner of Record TV network. Based on a book trilogy of the same name, the movie tells the story of the self-made man who faced several moments of turbulence while pursuing his conviction.",32.843,/1Qk9eD3ZqmJ7V8bB28H7gUd1FPg.jpg,2018-03-29,Nothing to Lose,False,5.5,71
11,False,/rLHW8UNef8JPYKpdqpeiEkM9nOA.jpg,"[28, 878, 12, 35, 10751]",88751,en,Journey to the Center of the Earth,"On a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth.",32.82,/myhj05hTAcQL2rhOrMqWxiioo49.jpg,2008-07-10,Journey to the Center of the Earth,False,6.0,3866
12,False,/2VnghbG2qWChcE6CdZBMDtDQKCF.jpg,"[18, 10751, 10402, 10749]",699102,en,A Week Away,"Troubled teen Will Hawkins has a run-in with the law that puts him at an important crossroad: go to juvenile detention or attend a Christian summer camp. At first a fish-out-of-water, Will opens his heart, discovers love with a camp regular, and sense of belonging in the last place he expected to find it.",32.783,/htTS07IvYv3rv57ftzNEprefwSq.jpg,2021-03-26,A Week Away,False,7.1,266
13,False,/7J6iJrsXz5PpkTzNfLWM73u6EAy.jpg,"[878, 12, 28]",1895,en,Star Wars: Episode III - Revenge of the Sith,The evil Darth Sidious enacts his final plan for unlimited power -- and the heroic Jedi Anakin Skywalker must choose a side.,32.768,/xfSAoBEm9MNBjmlNcDYLvLSMlnq.jpg,2005-05-17,Star Wars: Episode III - Revenge of the Sith,False,7.4,10881
14,False,/1WDITmJAHz4rAnjVv1XYN4IfjKq.jpg,[27],593655,en,Castle Freak,"After she’s permanently blinded in a tragic car accident, Rebecca receives some bizarre news: her long-lost mother has recently passed away, leaving her their family’s ancestral castle in rural Albania. Traveling to the estate with a group of friends, Rebecca hopes it will be an opportunity for her to reconnect with a past she never knew and a mother who seemingly left her behind. When mysterious events begin to occur and her friends begin to die, Rebecca must unravel the secrets of her family’s history before she too falls prey to the Castle Freak.",32.764,/HJEosQRIdBzAHEdZJCUF7e5FmF.jpg,2020-12-04,Castle Freak,False,5.2,33
15,False,/3YKGMZQ0pwQXSBSASeKlfPlkso7.jpg,"[28, 35]",228967,en,The Interview,"Dave Skylark and his producer Aaron Rapaport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Kim Jong-un, they are recruited by the CIA to turn their trip to Pyongyang into an assassination mission.",32.759,/tIDC4xT65l7a8qbgg8GvwD5g8c5.jpg,2014-12-25,The Interview,False,6.2,4728
16,False,/5tFt6iuGnKapHl5tw0X0cKcnuVo.jpg,"[10751, 14, 12]",329996,en,Dumbo,"A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.",32.746,/deTOAcMWuHTjOUPQphwcPFFfTQz.jpg,2019-03-27,Dumbo,False,6.7,3633
17,False,/yCRYYGldFGVa4cmZVpTVCRQMfjA.jpg,"[28, 12, 18]",350312,te,బాహుబలి 2: ది కన్ క్లూజన్,"When Mahendra, the son of Bāhubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",32.74,/21sC2assImQIYCEDA84Qh9d1RsK.jpg,2017-04-27,Bāhubali 2: The Conclusion,False,7.3,498
18,False,/e7jIX02GiSwsgkU5lMpeKjwq2Zc.jpg,"[14, 28, 80, 878, 53]",9480,en,Daredevil,A man blinded in a childhood accident fights crime using his superhumanly-elevated remaining senses.,32.738,/oCDBwSkntYamuw8VJIxMRCtDBmi.jpg,2003-02-14,Daredevil,False,5.2,3994
19,False,/qbQ219gsHpdx33WSfdCgG9I2Xg5.jpg,"[27, 53, 9648]",547565,en,The Night House,"Reeling from the unexpected death of her husband, Beth is left alone in the lakeside home he built for her. Soon she begins to uncover her recently deceased husband's disturbing secrets.",32.728,/rqs2CXpc4d5FzeP1EZCYItAVo81.jpg,2021-07-15,The Night House,False,6.7,352
0,False,/hCxxOJojCUFyuahDx167glJgp7E.jpg,"[28, 12, 53, 10752]",1368,en,First Blood,"When former Green Beret John Rambo is harassed by local law enforcement and arrested for vagrancy, the Vietnam vet snaps, runs for the hills and rat-a-tat-tats his way into the action-movie hall of fame. Hounded by a relentless sheriff, Rambo employs heavy-handed guerilla tactics to shake the cops off his tail.",32.722,/a9sa6ERZCpplbPEO7OMWE763CLD.jpg,1982-10-22,First Blood,False,7.4,4674
1,False,/lrNKm3HNvGdZoAfiBKu7b04FLHN.jpg,[18],316029,en,The Greatest Showman,"The story of American showman P.T. Barnum, founder of the circus that became the famous traveling Ringling Bros. and Barnum & Bailey Circus.",32.721,/b9CeobiihCx1uG1tpw8hXmpi7nm.jpg,2017-12-20,The Greatest Showman,False,8.0,7776
2,False,/4qu4kO5HVTKMK2hvmCXeviZ233l.jpg,"[35, 80, 18]",741228,en,Locked Down,"During a COVID-19 lockdown, sparring couple Linda and Paxton call a truce to attempt a high-risk jewellery heist at one of the world's most exclusive department stores, Harrods.",32.7,/svHelD0Hb3TXPAQoPsoBwdDMTvf.jpg,2021-02-25,Locked Down,False,5.5,131
3,False,/2LmpNG02E92t2830kWm4XlJJiQL.jpg,"[10752, 36, 28, 18]",522162,en,Midway,"The story of the Battle of Midway, and the leaders and soldiers who used their instincts, fortitude and bravery to overcome massive odds.",32.696,/hj8pyoNnynGeJTAbl7jcLZO8Uhx.jpg,2019-11-06,Midway,False,7.1,1711
4,False,/hwBFGNabkGv2ZIyFUnCTSSmprf7.jpg,"[27, 14]",714338,hi,Bulbbul,"A child bride grows up to be an enigmatic woman presiding over her household, harboring a painful past as supernatural murders of men plague her village.",32.689,/4XYEqHqvcf6vxFhNyeKZz5xbUfV.jpg,2020-06-24,Bulbbul,False,6.7,71
5,False,/aEitmeLoFACS2hUEJSo1cDyWosn.jpg,"[53, 80, 28, 27]",497814,en,Breaking In,"Shaun Russell takes her son and daughter on a weekend getaway to her late father's secluded, high-tech vacation home in the countryside. The family soon gets an unwelcome surprise when four men break into the house to find hidden money. After managing to escape, Shaun must now figure out a way to turn the tables on the desperate thieves and save her captive children.",32.659,/nuCxJwcQOEKYoiHTgcf4em8TxWv.jpg,2018-05-05,Breaking In,False,6.0,530
6,False,/uL2s9Snfjb9AvImGGQLDnMpfzge.jpg,"[12, 14, 878, 10751, 28]",475430,en,Artemis Fowl,Artemis Fowl is a 12-year-old genius and descendant of a long line of criminal masterminds. He soon finds himself in an epic battle against a race of powerful underground fairies who may be behind his father's disappearance.,32.649,/tI8ocADh22GtQFV28vGHaBZVb0U.jpg,2020-06-12,Artemis Fowl,False,5.7,1278
7,False,,"[27, 18]",718022,en,Heks,"A grieving British girl unravels her murdered mother's secrets connected to a South African witch doctor's curse. She wants to put an end to this haunting hex by traveling to South Africa, but instead it casts her deeper into sinister depths.",32.641,/2b2d6i3LZHRaGUwIGcw4h1Wecz6.jpg,2020-12-15,Heks,False,6.3,26
8,False,/9YAVIwBcBrLXeukg2dgMGfYB1uu.jpg,"[12, 16, 10751, 10749]",10530,en,Pocahontas,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia.",32.612,/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg,1995-06-14,Pocahontas,False,7.0,4649
