,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
2,False,/bDWWwPsL6IL3IWbskOIxO0eELyM.jpg,"[12, 35, 10751]",11459,en,Sky High,"Set in a world where superheroes are commonly known and accepted, young Will Stronghold, the son of the Commander and Jetstream, tries to find a balance between being a normal teenager and an extraordinary being.",24.885,/oK54M9VKOCLR1u0j26ttRix0G18.jpg,2005-07-29,Sky High,False,6.2,1845
3,False,/1HEdbjJ20vXn8nW1LwPMc5lY63U.jpg,"[18, 53, 80, 10749]",116,en,Match Point,"Match Point is Woody Allen’s satire of the British High Society and the ambition of a young tennis instructor to enter into it. Yet when he must decide between two women - one assuring him his place in high society, and the other that would take him far from it - palms start to sweat and a dark psychological match in his head begins.",14.553,/vHjEVTD8ucuwKSFOZJeyAnTZYli.jpg,2005-10-26,Match Point,False,7.3,3249
4,False,/yNhmsmCqK6bTl4xUT28fJ1r6f61.jpg,"[35, 18, 10749]",11931,en,In Her Shoes,"Irresponsible party girl, Maggie is kicked out of her father's and stepmother's home—where she lives for free—and is taken in by her hard-working sister, Philadelphia lawyer, Rose. After Maggie's disruptive ways ruin her sister's love life, Rose turns her out as well. But when their grandmother, who they never knew existed, comes into their lives, the sisters face some complicated truths about themselves and their family.",11.29,/4x1w6GD9XZvMpBlc44bXLjCbQDj.jpg,2005-10-07,In Her Shoes,False,6.1,981
5,False,/ksT0nX66UpCVBdvXiXW1byaZtjo.jpg,"[18, 9648, 53]",1985,en,The Constant Gardener,"Justin Quayle is a low-level British diplomat who has always gone about his work very quietly, not causing any problems. But after his radical wife Tessa is killed he becomes determined to find out why, thrusting himself into the middle of a very dangerous conspiracy.",9.276,/nkXq7V7mmJVbvwZGr3nxkHo7HkS.jpg,2005-08-31,The Constant Gardener,False,7.0,1081
6,False,/aK1uB5c111DXSvPOrriizPoWwh9.jpg,"[28, 53, 80]",2026,en,Hostage,"When a mafia accountant is taken hostage on his beat, a police officer – wracked by guilt from a prior stint as a negotiator – must negotiate the standoff, even as his own family is held captive by the mob.",13.294,/vjhLmtjO2pMQXRgkxcwZoq2Ma8n.jpg,2005-03-10,Hostage,False,6.3,1268
7,False,/60sYICEqfCJBddU1JLjHPNrKzjC.jpg,"[878, 28, 10752]",10048,en,Stealth,"Deeply ensconced in a top-secret military program, three pilots struggle to bring an artificial intelligence program under control ... before it initiates the next world war.",15.275,/eVmOkUrEIRm6DKusKbI1gVS8paQ.jpg,2005-07-27,Stealth,False,5.3,750
8,False,/rBeBQmSdn9rUZtbJjxtEhXkEBKM.jpg,"[18, 36]",7214,en,Coach Carter,"Based on a true story, in which Richmond High School head basketball coach Ken Carter made headlines in 1999 for benching his undefeated team due to poor academic results.",20.763,/y3HOTTyM5nLsdUzXFtFCohG28qj.jpg,2005-01-14,Coach Carter,False,7.5,1998
9,False,/z5LhR3cqKIL0atMcNd16s4IP2kQ.jpg,"[80, 18, 53]",1830,en,Lord of War,"Yuri Orlov is a globetrotting arms dealer and, through some of the deadliest war zones, he struggles to stay one step ahead of a relentless Interpol agent, his business rivals and even some of his customers who include many of the world's most notorious dictators. Finally, he must also face his own conscience.",24.783,/xEdwdFZRwrNAvTDx0fAV3MAInaA.jpg,2005-09-16,Lord of War,False,7.3,3500
10,False,/eyUXxRholD2QO9UzXWZYwW5kZw2.jpg,"[35, 10751, 10749]",13499,en,"Yours, Mine & Ours","Admiral Frank Beardsley returns to New London to run the Coast Guard Academy, his last stop before a probable promotion to head the Guard. A widower with eight children, he runs a loving but tight ship, with charts and salutes. The kids long for a permanent home. Helen North is a free spirit, a designer whose ten children live in loving chaos, with occasional group hugs. Helen and Frank, high school sweethearts, reconnect at a reunion, and it's love at first re-sighting. They marry on the spot. Then the problems start as two sets of kids, the free spirits and the disciplined preppies, must live together. The warring factions agree to work together to end the marriage.",13.015,/pfLvsirqbmHJ93U2mHtoRYqOANC.jpg,2005-11-23,"Yours, Mine & Ours",False,6.1,677
11,False,/lxhlZID5mspgUL6cirofkretS7k.jpg,"[12, 10751, 878]",14199,en,The Adventures of Sharkboy and Lavagirl,"Everyone always knew that Max had a wild imagination, but no one believed that his wildest creations -- a boy raised by watchful great white sharks and a girl with the force of a volcano -- were real. Now, these two pint-sized action masters will show Max that even an ordinary kid has what it takes to be extraordinary.",44.662,/wyXPANZMYYbKh8Ic8qFLqMkolyV.jpg,2005-06-10,The Adventures of Sharkboy and Lavagirl,False,5.1,1135
12,False,/vBDHS8bdo5vzqaaqviMupznoRaN.jpg,"[28, 12, 80, 9648, 53]",11679,en,xXx: State of the Union,Darius Stone's criminal record and extreme sports obsession make him the perfect candidate to be the newest XXX agent. He must save the U.S. government from a deadly conspiracy led by five-star general and Secretary of Defense George Deckert.,22.843,/MM1r8HQUn6VG0Njr8S6cmXHyvJ.jpg,2005-04-27,xXx: State of the Union,False,5.0,1443
13,False,/jw8Z6btyzWT0iVFgXQF9ZawJX5X.jpg,"[35, 10749]",11638,en,Guess Who,"When a young African-American woman brings her fiancé home to meet her parents, she's neglected to mention one tiny detail - he's white.",11.397,/lTMxu2Ceu3L3p0uBqYLWG00vu11.jpg,2005-03-25,Guess Who,False,5.9,695
14,False,/2J9uLUgwoNca6iV78HoThnN5heY.jpg,"[27, 18]",10066,en,House of Wax,A group of unwitting teens are stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit.,36.193,/r0v8qg78Ol9NIsRGe3DME27ORpd.jpg,2005-04-30,House of Wax,False,5.9,2232
